sampling_location,duplicate_sample,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,bottom_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,bottom_sample_depth_ft,top_salinity_psu,bottom_salinity_psu,top_conductivity_s_m,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,percentage_o2_saturation_bottom_sample,light_trans_transparency_top_sample,light_trans_transparency_bottom_sample,top_sigma_t_kg_m3,bottom_sigma_t_kg_m3,top_fluorometer_mg_m3,bottom_fluorometer_mg_m3,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,top_sample_par_ue_s_m2,bottom_sample_par_ue_s_ue_s_m2,oxidation_reduction_potential_mv_top_sample,oxidation_reduction_potential_mv_bottom_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,winkler_method_bottom_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,bottom_ph,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,fecal_coliform_bottom_sample_less_than_or_greater_than_result,top_fecal_coliform_bacteria_cells_100ml,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,top_enterococci_bacteria_cells_100ml,bottom_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,bottom_nitrate_nitrite_mg_l,top_ammonium_mg_l,bottom_ammonium_mg_l,top_ortho_phosphorus_mg_l,bottom_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,bottom_silica_mg_l,total_phosphorus_mg_l,bottom_total_phosphorus_mg_l,top_total_suspended_solid_mg_l,bottom_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,bottom_active_chlorophyll_a_g_l,chlorophyll_top_sample_field_u_l_ysi,chlorophyll_bottom_sample_field_u_l_ysi,top_total_organic_carbon_mg_l,top_dissolved_organic_carbon_mg_l,bottom_dissolved_organic_carbon_mg_l,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,top_sample_salinity_ysi_psu,bottom_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_beam_attenuation_coefficient,bottom_beam_attenuation_coefficient,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,top_coliform_log_no_ml,bottom_coliform_log_no_ml,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,oakwood_total_suspended_solid_top_sample_mg_l,oakwood_total_suspended_solid_bottom_sample_mg_l,top_turbidity_nephelometric_turbidity_units,bottom_turbidity_ysi_nephelometric_turbidity_units,sampling_comment,long,lat,type
E15,,2021-07-27T00:00:00.000,2:49 PM,D,23.80,22.88,15.00,3,13,23.30,23.88,3.60,3.6,4.96,3.74,67.1,50.0,60.1,61.1,14.86,15.56,8.35,3.63,7.51,7.55,1891,2429,45,2.651E+02,2.708E+02,1.1,SW,10.00,S,1,4.51,4.54,3.0,7.47,7.49,,,,,440,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.848620,"40.762720,",Provisional
E14,,2021-07-27T00:00:00.000,3:37 PM,D,22.75,22.12,15.00,3,23,24.07,24.69,3.63,3.7,4.12,3.54,54.9,46.8,76.0,53.8,15.76,16.36,4.57,3.11,7.47,7.51,1819,1482,1,2.265E+02,2.300E+02,0.6,S,10.00,S,1,4.61,4.11,4.0,7.49,7.49,,,,,62,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.864810,"40.800580,",Provisional
E2,,2021-07-27T00:00:00.000,9:20 AM,D,22.92,22.84,51.00,3,52,21.77,22.07,3.32,3.4,3.96,3.83,52.3,50.6,71.1,68.8,13.95,14.20,1.37,1.39,7.39,7.39,1659,1841,0,1.895E+02,1.877E+02,3.0,E,3.00,S,1,4.26,3.78,3.5,7.39,7.42,,,,,52,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.970480,"40.737930,",Provisional
N1,,2021-07-27T00:00:00.000,11:08 AM,D,26.09,24.55,48.00,3,43,1.10,10.38,0.22,1.7,6.92,4.68,85.9,59.6,36.5,17.7,-2.39,4.95,5.43,2.07,7.87,7.54,1913,1932,0,1.806E+02,1.953E+02,1.0,N,1.00,S,1,6.44,5.19,2.0,7.58,7.50,,,,,112,,E,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.91617,"40.9145,",Provisional
N5,,2021-07-27T00:00:00.000,9:50 AM,D,24.52,22.00,46.00,3,39,11.20,24.17,1.87,3.6,5.48,5.22,70.0,68.6,53.5,49.1,5.17,16.01,2.18,2.16,7.68,7.70,1720,1570,0,1.674E+02,1.673E+02,2.0,N,2.00,S,1,5.70,5.89,3.5,7.64,7.75,,,,,168,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,"40.7045,",Provisional
FB1,,2021-07-27T00:00:00.000,3:01 PM,D,24.34,22.58,25.00,3,20,23.01,24.03,3.60,3.6,5.89,3.71,80.3,49.3,56.6,67.7,14.49,15.75,12.79,2.27,7.55,7.51,1879,2336,6,2.638E+02,2.706E+02,2.0,N,18.00,S,1,5.28,4.48,3.5,7.65,7.83,,,,,2000,,E,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.853058,"40.772042,",Provisional
E11,,2021-07-27T00:00:00.000,1:35 PM,D,23.61,,12.00,3,,24.75,,3.78,,4.90,,66.5,,56.6,,15.99,,16.42,,7.77,,2019,1527,,2.595E+02,,1.5,S,6.00,S,1,10.60,,4.0,8.14,,,,,,68,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.763200,"40.786580,",Provisional
E6,,2021-07-27T00:00:00.000,3:11 PM,D,23.30,22.71,26.00,3,23,22.75,23.88,3.48,3.6,4.16,3.80,55.6,50.6,74.0,72.1,14.58,15.60,2.11,2.73,7.47,7.52,1906,2428,12,2.519E+02,2.567E+02,2.0,N,14.00,S,1,4.77,4.15,4.0,7.54,7.51,,,,,225,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.86083,"40.7855,",Provisional
FLC2,,2021-07-27T00:00:00.000,2:43 PM,D,23.90,22.82,19.00,3,17,22.95,23.85,3.56,3.6,5.20,3.59,70.3,47.9,56.9,60.1,14.56,15.54,11.20,3.14,7.51,7.50,1922,2164,9,2.499E+02,2.555E+02,1.0,SW,8.00,S,1,5.31,5.04,3.0,7.58,7.54,,,,,410,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.842833,"40.765000,",Provisional
E14,D,2021-07-27T00:00:00.000,3:37 PM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,4.00,4.0,,,,,,,64,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.864810,"40.800580,",Provisional
K2,,2021-07-28T00:00:00.000,2:45 PM,D,24.47,24.33,34.00,3,21,18.85,18.94,3.01,3.0,5.55,5.36,74.0,71.4,71.6173,67.9,11.35,11.42,4.53,4.57,7.66,7.68,2086,3041,11,2.288E+02,2.305E+02,1.0,E,5.00,NE,1,5.86,6.15,2.5,7.65,7.65,,,E,,36,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.153,"40.64117,",Provisional
GC5,,2021-07-28T00:00:00.000,9:28 AM,D,,,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42,7.42,,,E,E,44,40,E,E,20,8,,,,,,,,,,,,,,,,,0.62,0.75,,,,4.90,4.88,,,22.69,22.69,28.16,28.18,,,,,,,,,,,,,,,1.34,1.89,,-73.99005,"40.67614,",Provisional
CIC2,D,2021-07-28T00:00:00.000,10:24 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000,,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.98564,"40.58167,",Provisional
K4,,2021-07-28T00:00:00.000,2:01 PM,D,25.50,24.67,39.00,3,38,19.04,20.45,3.10,3.3,5.29,3.82,71.9,51.6,73.3,69.7,11.21,12.49,6.83,3.35,7.58,7.59,2165,2747,0,2.106E+02,2.152E+02,0.0,0,5.00,NE,1,5.10,4.51,2.5,7.60,7.56,,,E,,12,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.21167,"40.567,",Provisional
NC2,,2021-07-28T00:00:00.000,9:54 AM,D,24.17,23.92,18.00,3,15,21.20,21.54,3.33,3.36,4.80,3.96,64.6,53.1,56.6,55.8,13.19,13.50,15.64,12.05,7.45,7.50,1019,1009,5,1.958E+02,2.037E+02,1.0,W,6.00,N,1,5.60,5.57,3.0,7.40,7.42,,,,,360,330,,,80,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lots floatable,-73.9355,"40.72883,",Provisional
K5,,2021-07-28T00:00:00.000,1:30 PM,D,24.98,23.43,44.00,3,41,21.80,23.71,3.47,3.6,10.28,5.54,140.8,74.6,41.8,71.4,13.39,15.27,18.30,8.23,8.12,7.93,1002,782,0,2.084E+02,2.129E+02,1.0,NW,5.00,NE,1,10.29,6.58,2.5,8.17,7.99,,,E,,8,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brownish water,-74.25883,"40.50883,",Provisional
GB1,,2021-07-28T00:00:00.000,11:45 AM,D,23.19,22.39,25.00,3,23,21.79,23.58,3.34,3.5,6.29,5.58,83.4,73.7,74.1,76.6,13.89,15.48,4.89,2.70,7.79,7.77,2004,3054,31,2.524E+02,2.563E+02,1.0,N,7.00,N,1,6.40,6.52,4.5,7.78,7.78,,,,,44,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.013667,"40.600000,",Provisional
G2,,2021-07-28T00:00:00.000,10:57 AM,D,23.67,22.87,31.00,3,22,20.40,22.16,3.18,3.4,5.89,5.02,78.2,66.4,78.4,78.0,12.88,14.20,5.20,1.96,7.72,7.70,2049,1938,42,1.867E+02,1.871E+02,1.0,E,10.00,W,1,6.40,6.07,6.0,7.74,7.70,,,E,,28,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.003333,"40.666667,",Provisional
K5A,,2021-07-28T00:00:00.000,1:17 PM,D,25.26,23.44,20.00,3,19,21.04,23.79,3.38,3.6,9.96,6.35,136.6,85.5,51.8369,73.0,12.65,15.37,18.04,8.23,8.06,7.99,1589,1519,4,1.811E+02,1.826E+02,1.0,N,8.00,E,1,9.52,7.69,2.0,8.08,8.04,,,E,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brownish water,-74.24583,"40.4845,",Provisional
CIC3,,2021-07-28T00:00:00.000,12:01 PM,D,24.36,22.94,16.00,3,15,20.22,22.30,3.20,3.4,7.93,5.50,106.5,72.8,70.4,71.1,12.33,14.38,6.94,3.44,7.83,7.78,992,1172,44,2.394E+02,2.432E+02,0.5,E,3.00,N,1,6.96,6.71,4.0,7.81,7.80,,,,,764,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lots floatable,-73.994820,"40.580420,",Provisional
K1,,2021-07-28T00:00:00.000,3:03 PM,D,24.00,21.19,52.00,3,50,18.62,26.76,2.95,3.9,5.71,5.18,75.4,68.1,71.2,75.8,11.29,18.16,3.36,2.34,7.71,7.73,2061,2525,0,2.450E+02,2.535E+02,2.0,E,8.00,NE,1,6.01,5.96,3.5,7.66,7.76,,,,,84,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.813,"40.643,",Provisional
K6,,2021-07-28T00:00:00.000,12:39 PM,D,23.34,22.36,20.00,3,17,22.15,24.02,3.41,3.6,6.70,5.64,89.3,74.7,76.2,77.9,14.09,15.84,4.28,4.22,7.84,7.82,2072,2870,148,1.859E+02,1.865E+02,1.5,W,10.00,NE,1,6.97,6.75,4.5,7.80,7.83,,,,,21,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.10083,"40.51033,",Provisional
CIC2,,2021-07-28T00:00:00.000,10:24 AM,D,,,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,,,,,,85000,,,,450,,,,,,,,,,,,,,,,,,1.52,,,,,5.12,,,,24.02,,28.34,,,,,,,,,,,,,,,,2.10,,,-73.98564,"40.58167,",Provisional
K5,D,2021-07-28T00:00:00.000,1:30 PM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,7.13,2.0,,,,,E,,12,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.25883,"40.50883,",Provisional
SP1,,2021-07-28T00:00:00.000,10:52 AM,D,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,,,,,,700,,E,,4,,,,,,,,,,,,,,,,,,3.02,,,,,5.75,,,,29.06,,30.79,,,,,,,,,,,,,,,,2.58,,,-73.86029,"40.65507,",Provisional
N6,,2021-07-28T00:00:00.000,3:15 PM,D,24.54,21.41,46.00,3,41,16.55,26.57,2.68,3.9,6.42,5.49,84.6,72.5,65.4,79.7,9.68,17.97,5.45,2.84,7.75,7.72,1926,1970,0,2.551E+02,2.666E+02,0.3,S,9.00,NE,1,6.70,6.31,3.0,7.73,7.74,,,,,84,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.05133,"40.66467,",Provisional
NC1,,2021-07-28T00:00:00.000,9:43 AM,D,24.20,23.85,20.00,3,17,20.99,21.38,3.30,3.33,4.99,2.87,67.0,38.4,59.3,65.0,13.00,13.41,15.65,9.37,7.39,7.42,1074,1049,3,1.635E+02,1.684E+02,1.0,N,5.00,N,1,4.52,3.99,2.5,7.33,7.33,,,,,3400,2800,,,620,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.92704,"40.72455,",Provisional
NC3,,2021-07-28T00:00:00.000,10:04 AM,D,24.00,23.07,26.00,3,18,21.35,22.34,3.34,3.41,5.30,4.17,71.2,55.5,56.9,57.4,13.31,14.33,14.06,3.79,7.52,7.57,922,1046,2,2.173E+02,2.221E+02,0.5,E,3.00,N,1,5.61,5.71,3.0,7.49,7.49,,,,,2300,991,E,E,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lots floatable,-73.94617,"40.73717,",Provisional
GC6,,2021-07-28T00:00:00.000,9:45 AM,D,,,14.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41,7.36,,,E,,72,132,E,E,24,68,,,,,,,,,,,,,,,,,2.57,0.92,,,,4.15,3.52,,,22.31,22.83,28.35,28.25,,,,,,,,,,,,,,,1.62,1.79,,-73.99639,"40.67417,",Provisional
N7,,2021-07-28T00:00:00.000,11:16 AM,D,23.98,21.45,46.00,3,45,16.57,26.49,2.65,3.8,5.66,5.48,73.8,72.4,68.3,71.0,9.75,17.91,3.12,3.16,7.74,7.76,2063,2315,0,1.962E+02,2.018E+02,1.5,N,12.00,NW,1,5.93,6.09,3.5,7.63,7.78,,,,,124,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.05383,"40.64383,",Provisional
N8,,2021-07-28T00:00:00.000,11:32 AM,D,22.78,20.39,91.00,3,90,22.84,28.39,3.46,4.0,6.10,5.44,80.8,71.2,73.7,79.8,14.83,19.63,5.57,2.88,7.79,7.80,1625,1800,0,2.330E+02,2.403E+02,3.0,S,10.00,N,1,6.03,6.20,3.5,7.77,7.82,,,,,66,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.0455,"40.60617,",Provisional
GC3,,2021-07-28T00:00:00.000,9:14 AM,D,,,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42,,,,,,104,,E,,16,,,,,,,,,,,,,,,,,,0.68,,,,,4.48,,,,22.49,,28.20,,,,,,,,,,,,,,,,4.43,,,-73.98824,"40.67943,",Provisional
NC0,,2021-07-28T00:00:00.000,9:20 AM,D,25.13,24.87,18.00,3,14,19.51,19.72,3.15,3.16,5.35,5.51,72.5,74.4,75.6,75.4,11.65,11.87,4.42,4.23,7.29,7.31,1603,699,20,1.810E+02,1.822E+02,0.2,E,5.00,N,1,6.25,5.95,4.0,7.39,7.35,,,,,510,240,,,196,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeration on,-73.93156,"40.71496,",Provisional
NC0A,,2021-07-28T00:00:00.000,9:30 AM,D,24.14,24.02,17.00,3,16,20.69,21.01,3.25,3.29,5.19,3.79,69.6,50.8,60.9,70.5,12.79,13.08,15.64,13.34,7.41,7.46,1825,2084,12,1.792E+02,1.863E+02,0.5,N,7.00,N,1,5.52,5.14,2.5,7.34,7.34,,,,,764,691,,E,80,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeration on,-73.924667,"40.718167,",Provisional
K3,,2021-07-28T00:00:00.000,2:28 PM,D,24.73,24.40,45.00,3,42,18.81,19.04,3.02,3.0,5.11,4.89,68.5,65.3,72.7,75.1,11.23,11.49,3.69,2.78,7.58,7.60,871,2182,0,2.247E+02,2.277E+02,1.0,E,10.00,NE,1,5.69,5.72,3.0,7.55,7.56,,,E,,52,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.19583,"40.6375,",Provisional
WC2,,2021-07-29T00:00:00.000,11:38 AM,D,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,S,8.00,N,1,,,,7.09,,,,,,718,,,,20,,,,,,,,,,,,,,,,,,4.43,,,,,2.67,,,,21.32,,24.36,,,,,,,,,,,,,,,,4.60,,Milky green water with sulfur smells,-73.83984,"40.83888,",Provisional
BR3,,2021-07-29T00:00:00.000,9:30 AM,D,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.30,,,,,,2800,,,,364,,,,,,,,,,,,,,,,,,20.18,,,,,3.65,,,,12.72,,27.76,,,,,,,,,,,,,,,,6.08,,,-73.8848,"40.82537,",Provisional
HR03,,2021-07-29T00:00:00.000,10:38 AM,D,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,S,6.00,N,1,,,,7.48,,,,,,709,,,,80,,,,,,,,,,,,,,,,,,104.99,,,,,6.80,,,,20.70,,24.59,,,,,,,,,,,,,,,,6.31,,Reddish brown water,-73.82087,"40.88087,",Provisional
E13,D,2021-07-29T00:00:00.000,12:07 PM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.84111,"40.80611,",Provisional
E13,,2021-07-29T00:00:00.000,12:07 PM,D,,,13.50,,,,,,,,,,,,,,,,,,,,,,,,1.0,S,12.00,N,1,,,,7.32,,,,,,90,,,,8,,,,,,,,,,,,,,,,,,3.57,,,,,4.43,,,,24.84,,22.52,,,,,,,,,,,,,,,,9.77,,,-73.84111,"40.80611,",Provisional
AC1,,2021-07-29T00:00:00.000,10:36 AM,D,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,,,,E,,1200,,,,391,,,,,,,,,,,,,,,,,,2.32,,,,,7.32,,,,1.18,,25.61,,,,,,,,,,,,,,,,58.50,,"Dean and alive fish swimming around, very low tides",-73.75175,"40.76317,",Provisional
WC1,,2021-07-29T00:00:00.000,11:51 AM,D,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,S,5.00,N,1,,,,7.10,,,,,,300,,,,39,,,,,,,,,,,,,,,,,,5.10,,,,,2.49,,,,23.72,,24.37,,,,,,,,,,,,,,,,7.70,,,-73.84228,"40.82775,",Provisional
E12,,2021-07-29T00:00:00.000,11:01 AM,D,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,0.9,S,10.00,N,1,,,,7.74,,,,,,220,,E,,4,,,,,,,,,,,,,,,,,,31.80,,,,,7.60,,,,24.40,,24.25,,,,,,,,,,,,,,,,3.92,,,-73.80945,"40.85444,",Provisional
BR1,,2021-07-29T00:00:00.000,10:00 AM,D,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,,,,,,2400,,,,510,,,,,,,,,,,,,,,,,,1.09,,,,,5.74,,,,0.43,,27.39,,,,,,,,,,,,,,,,1.37,,,-73.86271,"40.89314,",Provisional
WC3,,2021-07-29T00:00:00.000,12:01 PM,D,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,1.0,S,10.00,N,1,,,,7.21,,,,,,200,,,,8,,,,,,,,,,,,,,,,,,4.29,,,,,3.99,,,,24.16,,24.43,,,,,,,,,,,,,,,,55.48,,,-73.84319,"40.81507,",Provisional
HR1,,2021-07-29T00:00:00.000,10:47 AM,D,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,S,6.00,N,1,,,,7.30,,,,,,909,,E,,60,,,,,,,,,,,,,,,,,,22.84,,,,,4.44,,,,22.63,,24.47,,,,,,,,,,,,,,,,4.30,,,-73.82131,"40.8687,",Provisional
HR2,,2021-07-29T00:00:00.000,10:24 AM,D,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,S,8.00,N,1,,,,6.94,,,,,,580,,,,460,,,,,,,,,,,,,,,,,,67.64,,,,,0.65,,,,21.83,,24.47,,,,,,,,,,,,,,,,6.32,,Reddish brown water,-73.82403,"40.88791,",Provisional
J2,,2021-08-02T00:00:00.000,2:34 PM,D,23.75,22.81,40.00,3,38,27.84,28.14,4.22,4.2,7.96,6.93,110.4,94.7,59.9,69.7,18.30,18.79,15.92,13.10,8.11,8.02,1151,1097,0,2.723E+02,2.764E+02,1.2,E,11.00,N,1,8.03,7.54,3.5,8.14,8.01,,,,,16,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.88583,"40.60805,",Provisional
PB3,,2021-08-02T00:00:00.000,2:17 PM,D,24.45,24.35,12.00,3,9,27.32,27.37,4.21,4.2,8.83,8.38,123.6,117.2,52.1,54.0,17.71,17.78,14.72,15.67,8.25,8.23,2138,3937,370,2.774E+02,2.847E+02,0.5,E,10.00,N,1,9.38,9.55,3.0,8.25,8.26,,,,,128,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.899833,"40.623417,",Provisional
SP2,,2021-08-02T00:00:00.000,1:29 PM,D,24.30,,14.00,3,,26.86,,4.13,,7.45,,103.8,,55.9,,17.40,,15.37,,8.13,,2123,2473,,2.662E+02,,1.2,E,11.00,N,1,8.63,,2.5,8.21,,,,,,120,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.854167,"40.644500,",Provisional
J11,,2021-08-02T00:00:00.000,3:15 PM,D,23.84,22.20,20.00,3,19,27.83,27.93,4.23,4.1,10.91,7.82,151.5,105.5,53.5,72.4,18.27,18.80,16.85,12.97,8.24,8.10,1705,1364,14,2.750E+02,2.840E+02,1.0,W,8.00,N,1,10.79,9.73,3.0,8.20,8.12,,,,,88,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.93133,"40.58167,",Provisional
TB1,,2021-08-02T00:00:00.000,11:43 AM,D,24.68,24.87,15.00,3,11,24.51,26.31,3.83,4.10,4.63,4.04,64.2,56.6,74.1,77.9,15.53,16.83,7.08,6.28,7.78,7.77,1017,1084,86,2.245E+02,2.265E+02,0.2,N,10.00,N,1,4.93,5.38,4.0,7.67,7.93,,,E,,68,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.747333,"40.64233,",Provisional
PB2,,2021-08-02T00:00:00.000,2:08 PM,D,24.43,24.35,16.00,3,11,27.04,27.09,4.17,4.2,9.78,9.01,136.7,125.8,45.3,47.5,17.51,17.56,16.79,17.45,8.28,8.25,2158,2421,126,2.751E+02,2.811E+02,0.5,NW,11.00,N,1,10.21,10.56,2.0,8.28,8.30,,,,,260,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.909667,"40.628000,",Provisional
N9A,,2021-08-02T00:00:00.000,3:04 PM,D,20.18,19.39,16.00,3,12,29.04,30.00,4.07,4.1,6.28,6.02,82.3,78.1,84.6,87.6,20.17,21.10,3.34,3.17,7.90,7.92,2042,1970,713,2.995E+02,3.055E+02,2.0,E,10.00,N,1,6.64,6.60,7.0,7.87,7.84,,,,,11,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9355,"40.56783,",Provisional
J12,,2021-08-02T00:00:00.000,12:22 PM,D,24.55,24.32,31.00,3,29,25.74,26.35,4.00,4.06,7.68,4.37,106.7,60.6,51.9,70.0,16.49,17.01,16.50,10.81,8.15,7.98,2291,2002,0,2.353E+02,2.422E+02,1.0,E,10.00,N,1,8.32,5.85,3.0,8.14,7.95,,,,,45,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.80633,"40.633,",Provisional
J1,,2021-08-02T00:00:00.000,10:56 AM,D,23.22,22.83,33.00,3,33,27.94,28.11,4.19,4.2,7.00,6.45,96.2,88.2,67.6,72.8,18.53,18.76,11.89,10.79,8.03,8.00,1890,1849,1,2.252E+02,2.257E+02,0.5,W,1.00,W,1,7.14,7.08,4.0,7.99,7.98,,,,,66,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.88467,"40.57333,",Provisional
BB2,,2021-08-02T00:00:00.000,12:49 PM,D,24.58,24.54,12.00,3,10,26.23,26.25,4.07,4.07,5.91,5.78,82.4,80.6,62.1,66.5,16.85,16.88,15.15,15.04,8.05,8.05,2189,2706,164,2.547E+02,2.590E+02,1.0,N,10.00,N,1,7.62,7.09,2.0,8.03,8.04,,,E,,20,,<,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.823240,"40.659260,",Provisional
